IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH,Url_Stats_comments,Date_check_Stats
ES,470,1936,1277,DE-CIX MAD (DE-CIX Madrid),DE-CIX Madrid,DE-CIX Madrid,Madrid,Europe,2016-04-13T14:11:26Z,20160601,2019/7/28,2019-08-07T12:01:48Z,https://mad.de-cix.net,https://www.de-cix.net/locations/spain/madrid/statistics,['https://www.de-cix.net/traffic_MAD-2days-1170-400.png'],none,none
CN,585,,1284,CHN-IX Guangzhou,,CHN-IX Guangzhou,Guangzhou,Asia Pacific,2016-04-19T06:05:36Z,,,2019-06-16T18:33:09Z,http://www.chn-ix.net,,,none,none
US,679,,1285,SIX Seattle (Jumbo) (Seattle Internet Exchange (9000 MTU)),,SIX Seattle (Jumbo),Seattle,North America,2016-04-21T14:40:58Z,,,2019-06-18T23:50:09Z,https://www.seattleix.net/,https://www.seattleix.net/statistics/,,none,none
GB,578,1934,1302,IX Liverpool (IX Liverpool),IX Liverpool,IX Liverpool,Liverpool,Europe,2016-05-03T20:19:44Z,20160000,0000-00-00,2019-06-16T18:01:00Z,http://www.ixliverpool.net,,,none,none
CN,604,1926,1303,CNIX (China Internet Exchange),CNIX China Internet Exchange,CNIX,Beijing,Asia Pacific,2016-05-04T01:21:07Z,20150300,0000-00-00,2019-06-19T00:38:48Z,http://www.cnix.com.cn,,,none,none
QA,,2122,1304,,Doha IX,Doha-IX,Doha,Middle East,2016-05-05T07:17:21Z,0,0000-00-00,,,,,none,none
CA,575,2009,1307,IX-TOR (Toronto IX),Megaport Toronto,MegaIX Toronto,Toronto,North America,2016-05-12T14:56:25Z,20150000,0000-00-00,2019-08-06T06:01:44Z,https://megaport.com,https://www.megaport.com/services/ix-statistics/,,none,none
NL,681,,1308,LSIX,,LSIX,The Hague,Europe,2016-05-12T17:46:39Z,,,2019-06-19T01:21:20Z,https://lsix.net,https://my.lsix.net,,none,none
FR,576,,1312,OuestIX (OuestIX),,OuestIX,Nantes,Europe,2016-05-17T13:49:46Z,,,2019-06-16T17:58:55Z,http://www.ouestix.fr/,,,none,none
IN,117,106,1317,NIXI - Kolkata (National Internet Exchange of India - Kolkata),National Internet Exchange of India,NIXI Kolkata,Kolkata,Asia Pacific,2016-05-21T14:58:57Z,20030719,2019/7/14,2019-06-18T08:38:34Z,http://nixi.in,http://nixi.in,,none,none
FR,,,1320,,,Hopus,Paris  Lyon  Marseille  Geneva  Amsterdam  Frankfurt,Europe,2016-05-25T11:26:20Z,,,,https://hopus.net,https://hopus.net/stats,,none,none
IN,683,1975,1323,EIX Delhi (Extreme Internet Exchange India),Extreme IX New Delhi,Extreme IX Delhi,Delhi,Asia Pacific,2016-05-27T20:49:28Z,20160623,0000-00-00,2019-08-06T14:01:39Z,http://extreme-ix.org,,,none,none
DE,747,1990,1329,Community-IX DE,Community-IX,Community-IX,Berlin,Europe,2016-06-06T08:54:17Z,20160000,2019/7/28,2019-06-19T00:04:16Z,http://www.community-ix.de/,https://www.community-ix.de/technik/,['https://www.community-ix.de/ixp/grapher/ixp?period=day'],none,none
FI,171,1516,1332,FICIX - Espoo (Finnish Communication and Internet Exchange - Espoo),Finnish Communication and Internet Exchange Espoo,FICIX 1 (Espoo),Espoo,Europe,2016-06-14T22:19:37Z,19930000,0000-00-00,2019-05-29T00:19:46Z,https://www.ficix.fi/,https://stats-ficix.basen.com/#/page?name=StatsWelcome&source=wiki,,none,none
MG,685,1881,1335,MGIX (Madagascar Global Internet eXchange),Madagascar Global Internet Exchange,MGIX,Antananarivo,Africa,2016-06-18T12:04:25Z,20160316,2017/1/23,2019-06-18T23:51:01Z,http://www.mgix.mg,http://www.mgix.mg/statistiques/,,none,none
LB,147,,1354,Beirut-IX (Beirut Internet Exchange),,Beirut IX,Beirut,Middle East,2016-07-04T10:17:04Z,,,2019-06-17T20:15:06Z,http://www.beirutix.net,,,none,none
CN,,,1375,,,CHN-IX Shanghai,Shanghai,Asia Pacific,2016-07-19T07:29:03Z,,,,http://www.chn-ix.net,https://stats.chn-ix.net/index.html,,none,none
RU,567,1980,1387,DataLine-IX (DataLine-IX),DataLine-IX,DataLine-IX,Moscow,Europe,2016-07-25T10:13:39Z,0,0000-00-00,2019-06-16T17:51:47Z,http://www.dtln.ru/en/services/telecom/dataline-ix,,,none,none
SE,273,,1412,BOR-IX (Boras Internet Exchange),,BOR-IX,Bor??s,Europe,2016-08-18T22:12:38Z,,,2019-06-17T23:11:55Z,http://www.bor-ix.se/index.php?page=info,,,none,none
NO,199,1512,1418,TIX Troms?? (Troms?? Internet Exchange),Troms?? Internet exchange,TIX Troms??,Troms??,Europe,2016-08-22T23:28:39Z,20070000,2019/7/28,2019-06-18T08:43:42Z,https://www.nix.no,https://www.nix.no/statistics/,"['https://portal.nix.no/grapher/infrastructure?id=4', 'https://portal.nix.no/grapher/infrastructure?id=4']",none,none
NO,200,1511,1419,SIX Stavanger (Stavanger Internet Exchange),Stavanger Internet exchange,SIX Stavanger,Stavanger,Europe,2016-08-22T23:30:20Z,20070000,2019/7/28,2019-06-17T08:19:11Z,https://www.nix.no,https://www.nix.no/statistics/,"['https://portal.nix.no/grapher/infrastructure?id=6', 'https://portal.nix.no/grapher/infrastructure?id=6']",none,none
NO,193,1508,1420,TRDIX (Trondheim Internet Exchange),Trondheim Internet Exchange,TRDIX Trondheim,Trondheim,Europe,2016-08-22T23:33:31Z,20050000,2019/7/28,2019-06-17T08:16:16Z,https://www.nix.no,https://www.nix.no/statistics/,['https://portal.nix.no/grapher/infrastructure?id=5'],none,none
DE,620,,1421,BW-IX Karlsruhe (Baden-W¨¹rttemberg Internet Exchange Karlsruhe),,BW-IX Karlsruhe,Karlsruhe,Europe,2016-08-23T21:52:27Z,,,2019-06-17T20:12:30Z,http://www.bw-ix.net/,,,none,none
PL,,,1423,,,WRIX,Wroc??aw,Europe,2016-08-24T13:55:06Z,,,,http://wrix.org,,,none,none
FR,527,,1428,GrenoblIX (Grenoble Internet eXchange Point),,GrenoblIX,Grenoble,Europe,2016-09-06T12:26:33Z,,,2019-08-07T13:04:58Z,http://grenoblix.net/,https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_grenoblix/grenoblix.html,,none,none
HK,590,1836,1449,BBIX - Hong Kong,BBIX Hong Kong,BBIX Hong Kong,Hong Kong,Asia Pacific,2016-09-20T00:24:23Z,20141001,0000-00-00,2019-06-17T15:26:28Z,http://www.bbix.net/en/,,,none,none
