id,protocol,prefix
300,IPv6,2001:7f8:10::/48
832,IPv4,194.116.96.0/24
352,IPv6,2001:7f8:23:ffff::/64
372,IPv4,
770,IPv4,
381,IPv4,
972,IPv6,
46,IPv4,
366,IPv4,103.246.232.0/24
1549,IPv6,2001:de8:8:6::/64
820,IPv4,
944,IPv6,
210,IPv4,202.249.2.0/24
214,IPv4,
973,IPv6,2001:200:0:FE10::/64
804,IPv4,210.171.224.0/24
246,IPv6,2001:de8:8::/64
793,IPv4,
47,IPv6,
48,,
49,IPv4,
327,IPv4,202.249.2.0/24
1346,IPv6,2001:200:0:fe00::/64
328,IPv6,3ffe:501:0:1800:200:f8ff:fe1f:7490
50,,
51,IPv4,218.100.6.0/24
974,IPv6,2001:0DE8:000C::/64
351,IPv4,
52,IPv4,218.100.7.0/24
975,IPv6,2001:de8:c:2::/48
53,IPv4,
54,IPv4,
1055,IPv6,
268,IPv4,218.100.6.0/24
269,IPv4,203.190.230.0/25
976,IPv6,2001:DE8:5::/64
928,IPv4,196.223.21.0/24
621,IPv6,2001:43f8:0060::/48
453,IPv6,
55,IPv4,198.32.209.0/24
340,IPv4,198.32.209.0/24
810,IPv4,192.145.251.0/24
251,IPv6,2001:7FA:8::/64
679,IPv4,
56,IPv4,
57,,
341,IPv4,
429,IPv4,193.168.127.0/24
303,IPv6,2001:7f8:11::
58,,
59,IPv4,
272,IPv4,
345,IPv4,196.223.0.0/24
1202,IPv6,2001:43f8:270:d0d0::/64
373,IPv4,
405,IPv4,196.223.33.0/24
1349,IPv6,
892,IPv4,198.32.231.0/24
1044,IPv6,2404:2C00:FFFF:E::/64
1109,IPv4,80.249.208.0/21
603,IPv6,2001:7f8:1::/64
602,IPv4,195.69.144.0/22
189,IPv4,193.148.15.0/24
346,IPv4,195.69.144.0/24
347,IPv4,195.69.145.0/24
60,IPv4,
61,IPv4,193.108.98.0/24
1341,IPv6, 2001:7f8:e::/64
615,IPv4,193.111.172.0/24
212,IPv6,2001:7f8:31::/48
641,IPv4,192.203.154.0/24
266,IPv6,2001:07FA:0004::/48
355,IPv4,218.100.24.0/24
977,IPv6,2001:7fa:3:5f44::/64
467,IPv4,218.100.23.0/24
62,IPv4,218.100.25.0/24
643,IPv4,218.100.21.0/24
63,,
466,IPv4,218.100.26.0/24
642,IPv4,202.7.0.0/23
267,IPv6,2001:7fa:3:ca07::/64
908,IPv4,
396,IPv4,198.32.151.0/24
825,IPv4,193.156.90.0/24
493,IPv6,2001:7F8:12:1::/64
491,IPv4,193.156.120.0/24
387,IPv4,
240,IPv4,200.46.153.8/30
311,IPv4,198.32.210.0/24
64,,
431,IPv4,
464,IPv4,
471,IPv4,206.223.130.0/24
322,IPv4,
274,IPv4,202.0.91.0/24
245,IPv4,
557,IPv4,195.85.195.0/24
834,IPv4,193.136.250.0/24
65,IPv6,2001:7f8:a:1::/64
66,IPv4,193.136.251.96/27
1574,IPv6,2001:7f8:a:11::/64
205,IPv4,
844,IPv4,217.156.113.0/24
638,IPv4,194.85.107.0/24
415,IPv6,2001:7F8:20:301::107:0
650,IPv4,193.232.244.0/24
940,IPv6,2001:7f8:20:101::/64
639,IPv4,193.232.87.0/24
377,IPv6,2001:7F8:20:401::87:0
764,IPv4,193.232.135.0/24
978,IPv6,2001:7F8:20:601::/64
206,IPv4,
644,IPv4,194.85.177.0/24
376,IPv6,2001:7f8:20:201::/64
321,IPv4,
67,,
480,IPv4,213.148.192.0/24
481,IPv4,
68,,
69,IPv4,
403,IPv4,198.32.141.0/24
979,IPv6,2001:de8:d::/64
70,IPv4,
823,IPv4,192.108.148.0/24
512,IPv6,2001:7F8:2F::/64
508,IPv4,
831,IPv4,193.2.141.0/24
934,IPv6, 2001:7f8:46::/64
873,IPv4,196.223.22.0/24
980,IPv6,2001:43f8:1f1::/64
286,IPv4,
465,IPv4,192.42.99.128/25
1155,IPv4,196.223.14.0/24
1156,IPv6,2001:43f8:1f0::/64
850,IPv4,198.32.142.0/24
284,IPv6,2001:0478:
71,,
870,IPv4,193.242.98.0/24
250,IPv6,2001:7f8:2a::/64
737,IPv4,
806,IPv4,193.149.1.0/24
1518,IPv4,185.79.175.0/24 
1623,IPv6,2001:7f8:f::/64
981,IPv6,2001:7F8:f:1::/64
727,IPv4,195.245.196.0/24
740,IPv4,193.227.132.0/24
982,IPv6,
728,IPv4,193.149.0.0/23
459,IPv4,192.168.170.0/24
458,IPv4,192.168.169.0/24
72,IPv4,
680,IPv4,203.143.4.0/27
1362,IPv6,
336,IPv4,198.180.153.0/24
745,IPv4,198.32.174.0/24
856,IPv4,194.68.130.0/24
74,IPv6, 2001:7f8:d:100::/64
73,IPv4,194.68.135.0/24
379,IPv4,194.68.130.0/24
75,IPv4,
681,IPv4,
899,IPv4,194.68.131.64/26
1363,IPv6,2001:7f8:d:400::/64
360,IPv4,194.68.131.0/24
440,IPv4,194.68.131.0/24
76,IPv6,
798,IPv4,194.68.123.0/24
288,IPv4,194.68.128.0/24
77,IPv4,195.245.240.0/24
1191,IPv4,195.69.119.0/24
78,IPv6,2001:7f8:d:fb::/64
1192,IPv6,2001:7f8:d:fc::/64
1193,IPv6,2001:7f8:d:fe::/64
1194,IPv6,2001:7f8:d:ff::/64
278,IPv4,194.68.132.0/24
845,IPv4,193.110.12.0/24
79,IPv6,2001:7f8:21:9::/64
861,IPv4,194.68.133.0/24
983,IPv6,2001:7f8:d:300::/64
903,IPv4,
877,IPv4,192.65.185.0/24
305,IPv6,2001:7F8:1C:24A::/64
80,IPv4,198.32.208.0/24
81,,
824,IPv4,91.206.52.0/23
432,IPv6,2001:7f8:24::/48
389,IPv4,194.242.34.0/24
279,IPv4,
462,IPv4,194.42.48.0/24
258,IPv6,2001:7f8:c:8235:194:42:48:0/112
187,IPv4,203.163.222.0/24
984,IPv6,2406:d400:1:133:203:163:222:0/112
399,IPv4,210.62.255.0/24
82,IPv6,
188,IPv4,
538,IPv4,198.32.222.0/24
83,,
