IXP_Country_ISO_Alpha2,IXPDB_ID,PCH_ID,PeeringDB_ID,IXP_name_IXPDB,IXP_name_PCH,IXP_name_PDB,IXP_City,IXP_region_continent,Date_Creation_PDB,Date_Creation_PCH,Date_Update_PCH,Date_Update_IXPDB,IXP_Website,IXP_Url_Stats,IXP_Url_Stats_PCH
CH,22,236,29,Equinix Zurich (Equinix Internet Exchange - Zurich),Equinix Zurich,Equinix Zurich,Zurich,Europe,2010-07-29T00:00:00Z,19990000,2008/1/13,2019-08-07T13:04:58Z,https://www.equinix.ch/services/interconnection-connectivity/internet-exchange/,https://ix.equinix.com/,
JP,44,129,30,JPIX - Tokyo (Japan Internet Exchange - Tokyo),Japan Internet Exchange,JPIX TOKYO,Tokyo,Asia Pacific,2010-07-29T00:00:00Z,19970700,2019/7/28,2019-06-17T06:42:25Z,https://www.jpix.ad.jp/en/,https://www.jpix.ad.jp/en/technical_traffic.php,['https://www.jpix.ad.jp/en/img/TOTAL.In_e.png']
DE,9,83,31,DE-CIX FRA (DE-CIX Frankfurt),Deutscher Commercial Internet Exchange DE-CIX Frankfurt,DE-CIX Frankfurt,Frankfurt,Europe,2010-07-29T00:00:00Z,19950500,2019/7/28,2019-08-07T13:04:58Z,https://fra.de-cix.net,https://www.de-cix.net/en/locations/germany/frankfurt/statistics,"['https://www.de-cix.net/traffic_FRA-2days-1170-400.png', None, 'https://www.de-cix.net/traffic_FRA-2days-1170-400.png', None]"
US,,299,32,,Pac Bell Los Angeles Network Access Point,SFIX,San Francisco,North America,2010-07-29T00:00:00Z,0,0000-00-00,,http://www.sfix.org/,,
CH,7,231,33,CIXP (CERN Internet Exchange Point),CERN Internet Exchange Point,CIXP,Geneva,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-06-07T15:00:42Z,http://www.cixp.net/,http://cixp.net/technical/members-traffic,['https://netstat.cern.ch/monitoring/network-statistics/ext/graphit.php?title=CIXP-Total-Traffic&custom=EXT&rrdpath=CIXP_CIXP-Total-Traffic']
FR,32,78,34,SFINX (Service for French Internet eXchange),Service for French Internet Exchange,SFINX,Paris,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-05-28T06:05:44Z,http://www.sfinx.fr/,,['https://pasillo.renater.fr/ma/SFINX_Stats.png']
IT,8,,35,MIX (Milan Internet Exchange),,MIX-IT,Milan,Europe,2010-07-29T00:00:00Z,,,2019-08-07T13:04:58Z,https://www.mix-it.net/,http://www.mix-it.net/statistics/cgi-bin/14all-Totale_globale.cgi?log=totaltraffic_global,
FR,,77,40,,PARIX,PARIX,Paris,Europe,2010-07-29T00:00:00Z,20010000,0000-00-00,,http://www.parix.net/,http://www.parix.net/cgi-bin/mrtg-rrd.cgi/giga.parix.net_total.html,
US,,,41,,,NYCX,New York,North America,2010-07-29T00:00:00Z,,,,http://www.nycx.net/,http://www.nycx.net/index.php?page=Traffic,
HK,110,,42,HKIX (Hong Kong Internet Exchange),,HKIX,Hong Kong,Asia Pacific,2010-07-29T00:00:00Z,,,2019-05-28T18:13:59Z,https://www.hkix.net/,https://www.hkix.net/hkix/stat/aggt/hkix-aggregate.html,
TW,113,238,43,TWIX - Taipei (Taiwan Internet Exchange),Taiwan Internet Exchange,TWIX,Taipei,Asia Pacific,2010-07-29T00:00:00Z,19971200,2019/1/30,2019-08-07T13:04:57Z,https://www.twix.net/index_e.html,https://www.twix.net/all_e.html,"['https://www.twix.net/twix-traffic/summary-day.png', None]"
PH,316,183,44,MIX - Manila (Manila Internet Exchange),Manila Internet Exchange,Manila IX,Manila ,Asia Pacific,2010-07-29T00:00:00Z,0,0000-00-00,2019-06-10T22:55:12Z,http://www.etpi.com/Products/index.asp?ID=39&MCID=3,,
IE,20,116,48,INEX LAN1 (Internet Neutral Exchange Association Limited by Guarantee),Internet Neutral Exchange Association Limited,INEX LAN1,Dublin,Europe,2010-07-29T00:00:00Z,19960000,2019/7/28,2019-08-07T13:04:58Z,https://www.inex.ie/,https://www.inex.ie/ixp/statistics/ixp,['https://www.inex.ie/ixp/grapher/ixp?id=1&type=png']
AT,3,15,50,VIX (Vienna Internet Exchange),Vienna Internet Exchange,VIX,Vienna,Europe,2010-07-29T00:00:00Z,19960400,2019/7/28,2019-08-05T11:01:16Z,http://www.vix.at,https://www.vix.at/vix_statistics.html,"['https://www.vix.at/typo3conf/ext/vixSum/graph.php?86400', 'https://www.vix.at/typo3conf/ext/vixSum/ip_specific_graph.php?time=86400&address_family=6']"
KR,72,147,52,KINX - Seoul (Korea Internet Neutral Exchange),Korea Internet Neutral Exchange KINX,KINX,Seoul,Asia Pacific,2010-07-29T00:00:00Z,20000600,2016/3/8,2019-06-19T21:18:33Z,https://www.kinx.net/?lang=en,,
GB,18,64,53,LONAP Network (LONAP Ltd.),London Network Access Point,LONAP,London,Europe,2010-07-29T00:00:00Z,19980000,2019/8/7,2019-08-07T00:01:41Z,https://www.lonap.net/,https://www.lonap.net/bandwidth.shtml,['https://www.lonap.net/mrtg/lonap-total-day.png']
HU,55,99,55,BIX (Budapest Internet Exchange),Budapest Internet Exchange,BiX,Budapest,Europe,2010-07-29T00:00:00Z,19960000,2019/7/28,2019-06-16T23:26:47Z,http://bix.hu/en,http://bix.hu/en/statistics,"['http://stats.bix.hu/graph.cgi?type=Octets&portid=aggregated&start=1563105059&end=1563191459', 'http://stats.bix.hu/graph.cgi?type=Octets&portid=aggregated&start=1563105059&end=1563191459']"
BE,4,17,59,BNIX (Belgian National Internet Exchange),Belgian National Internet Exchange,BNIX,Brussels,Europe,2010-07-29T00:00:00Z,19950000,2019/7/28,2019-05-27T12:53:59Z,https://www.bnix.net,https://bnix.net/en/content/figures,"['https://ftp.belnet.be/images/total-newbnix-daily.png', 'https://ftp.belnet.be/images/total-newbnix-daily.png']"
CH,34,234,60,Infrastructure #1 (SwissIX Internet Exchang),SwissIX,SwissIX,Zurich,Europe,2010-07-29T00:00:00Z,20010309,2019/7/28,2019-08-07T13:04:58Z,https://www.swissix.ch/,https://www.swissix.net/infrastructure/traffic,['https://www.swissix.ch/ss/trafficplotnew.php?id=99&mode=1day']
ES,11,211,62,CATNIX (Catalunya Neutral Internet eXchange),Catalunya Neutral Internet Exchange Point,CATNIX,Barcelona,Europe,2010-07-29T00:00:00Z,19990407,2019/6/10,2019-08-07T13:04:58Z,http://www.catnix.net,http://www.catnix.net/en/statistics/,"['http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1', 'http://stats.catnix.net/graph_image.php?action=view&local_graph_id=6973&rra_id=1']"
ES,62,213,63,ESPANIX Madrid Lower LAN,Punto Neutro Espa??ol de Internet,ESPANIX Madrid Lower LAN,Madrid,Europe,2010-07-29T00:00:00Z,19970000,2019/7/15,2019-06-16T23:51:34Z,http://www.espanix.net,http://stats.espanix.net/,"['http://stats.espanix.net/graphs/graph_3893_1.png', 'http://stats.espanix.net/graphs/graph_3893_1.png']"
NL,27,572,64,NL-ix,Neutral Internet Exchange,NL-ix,Amsterdam,Europe,2010-07-29T00:00:00Z,20020301,2019/7/28,2019-08-07T13:04:58Z,https://www.nl-ix.net/,https://www.nl-ix.net/traffic.php,"['https://www.nl-ix.net/trafficImg.php', 'https://www.nl-ix.net/trafficImg.php']"
FR,31,71,69,lyonix,Lyon Internet Exchange,LyonIX,Lyon,Europe,2010-07-29T00:00:00Z,20100601,2019/8/7,2019-08-07T13:04:58Z,http://www.lyonix.net/,http://noc.rezopole.net/,"['https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_lyonix/lyonix-day.png', 'https://vm-monitoring-1.rezopole.net/stats-services/all_traffic_exchanged_lyonix/lyonix-day.png']"
SE,5,227,70,Netnod - Stockholm (Netnod - Stockholm),Netnod Stockholm,Netnod Stockholm,Stockholm,Europe,2010-07-29T00:00:00Z,19970000,2019/7/28,2019-08-07T13:04:58Z,http://www.netnod.se,http://www.netnod.se/ix/statistics/,"['https://www.netnod.se/ix-stats/sums/Stockholm_day_sum.png', 'https://www.netnod.se/ix-stats/sums/Stockholm_day_sum.png']"
CZ,15,55,71,NIX.CZ (NIX.CZ  z.s.p.o.),NIX.CZ - Neutral Internet eXchange for the Czech Republic,NIX.CZ,Prague,Europe,2010-07-29T00:00:00Z,19960831,2019/7/28,2019-08-06T14:00:18Z,http://www.nix.cz/,https://www.nix.cz/en/port/mrtg2/nix-all,['https://www.nix.cz/mrtg/NIX/nix-all-day.png']
PT,10,186,72,GIGAPIX (Gigabit Portuguese Internet Exchange),Gigabit Portuguese Internet Exchange Point,GigaPIX,Lisbon,Europe,2010-07-29T00:00:00Z,19951000,2019/7/28,2019-04-16T11:00:55Z,http://www.gigapix.pt,https://gigapix.pt/pt/informacao-tecnica/estatisticas-de-trafego/,"['https://193.137.196.180:8001/', 'https://193.137.196.180:8001/']"
DE,77,89,73,ECIX-MUC,European Commercial Internet Exchange Munich,ECIX-MUC / INXS by ecix,Munich,Europe,2010-07-29T00:00:00Z,19940600,2015/10/31,2019-06-16T23:58:56Z,https://www.ecix.net,https://www.ecix.net/infrastructure/statistics,
DE,47,88,74,DE-CIX HAM (DE-CIX Hamburg),DE-CIX Hamburg,DE-CIX Hamburg,Hamburg,Europe,2010-07-29T00:00:00Z,20070000,2019/7/28,2019-08-06T13:02:11Z,https://ham.de-cix.net,https://www.de-cix.net/locations/germany/hamburg/statistics,"['https://www.de-cix.net/traffic_HAM-2days-1170-400.png', 'https://www.de-cix.net/traffic_HAM-2days-1170-400.png']"
NL,24,163,76,GN-IX (Groningen Internet Exchange),Groningen-IX,GN-IX,Groningen,Europe,2010-07-29T00:00:00Z,20010000,0000-00-00,2019-05-27T22:19:11Z,http://www.gn-ix.net/,,
LU,,152,77,,Luxembourg Internet Exchange,LIX,Luxemburg,Europe,2010-07-29T00:00:00Z,19980000,2010/1/15,,http://www.lix.lu,,
DK,29,,78,DIX,,DIX,Copenhagen,Europe,2010-07-29T00:00:00Z,,,2019-06-19T21:27:13Z,http://www.dix.dk/,http://www.dix.dk/,
